date,sales,region,state,category,type,caffeination
1/1/10,219,Central,CO,Coffee,Amaretto,Regular
1/1/10,190,Central,CO,Coffee,Columbian,Regular
1/1/10,234,Central,CO,Coffee,Decaf Irish Cream,Decaf
1/1/10,100,Central,CO,Tea,Green Tea,Regular
1/1/10,134,Central,CO,Espresso,Caffe Mocha,Regular
1/1/10,180,Central,CO,Espresso,Decaf Espresso,Decaf
1/1/10,341,Central,CO,Herbal Tea,Chamomile,Decaf
1/1/10,150,Central,CO,Herbal Tea,Lemon,Decaf
1/1/10,140,Central,CO,Herbal Tea,Mint,Decaf
1/1/10,130,Central,CO,Tea,Darjeeling,Regular
1/1/10,140,Central,CO,Tea,Earl Grey,Regular
1/1/10,345,Central,IL,Coffee,Columbian,Regular
1/1/10,234,Central,IL,Coffee,Decaf Irish Cream,Decaf
1/1/10,546,Central,IL,Espresso,Caffe Mocha,Regular
1/1/10,456,Central,IL,Espresso,Decaf Espresso,Decaf
1/1/10,219,Central,IL,Herbal Tea,Chamomile,Decaf
1/1/10,190,Central,IL,Herbal Tea,Lemon,Decaf
1/1/10,234,Central,IL,Herbal Tea,Mint,Decaf
1/1/10,134,Central,IL,Tea,Darjeeling,Regular
1/1/10,180,Central,IL,Tea,Earl Grey,Regular
1/1/10,45,Central,IA,Coffee,Amaretto,Regular
1/1/10,62,Central,IA,Coffee,Columbian,Regular
1/1/10,54,Central,IA,Coffee,Decaf Irish Cream,Decaf
1/1/10,43,Central,IA,Espresso,Caffe Mocha,Regular
1/1/10,43,Central,IA,Espresso,Decaf Espresso,Decaf
1/1/10,546,Central,IA,Herbal Tea,Chamomile,Decaf
1/1/10,234,Central,IA,Herbal Tea,Lemon,Decaf
1/1/10,456,Central,IA,Tea,Darjeeling,Regular
1/1/10,546,Central,IA,Tea,Earl Grey,Regular
1/1/10,190,Central,MO,Coffee,Columbian,Regular
1/1/10,170,Central,MO,Coffee,Decaf Irish Cream,Decaf
1/1/10,76,Central,MO,Tea,Green Tea,Regular
1/1/10,123,Central,MO,Espresso,Caffe Mocha,Regular
1/1/10,114,Central,MO,Espresso,Decaf Espresso,Decaf
1/1/10,90,Central,MO,Herbal Tea,Chamomile,Decaf
1/1/10,99,Central,MO,Herbal Tea,Lemon,Decaf
1/1/10,82,Central,MO,Tea,Darjeeling,Regular
1/1/10,65,Central,MO,Tea,Earl Grey,Regular
1/1/10,140,Central,OH,Coffee,Amaretto,Regular
1/1/10,140,Central,OH,Coffee,Columbian,Regular
1/1/10,150,Central,OH,Coffee,Decaf Irish Cream,Decaf
1/1/10,200,Central,OH,Tea,Earl Grey,Regular
1/1/10,130,Central,OH,Espresso,Decaf Espresso,Decaf
1/1/10,341,Central,OH,Espresso,Caffe Mocha,Regular
1/1/10,80,Central,OH,Herbal Tea,Chamomile,Decaf
1/1/10,80,Central,OH,Herbal Tea,Lemon,Decaf
1/1/10,210,Central,OH,Tea,Darjeeling,Regular
1/1/10,120,Central,WI,Coffee,Amaretto,Regular
1/1/10,190,Central,WI,Coffee,Columbian,Regular
1/1/10,180,Central,WI,Coffee,Decaf Irish Cream,Decaf
1/1/10,180,Central,WI,Tea,Earl Grey,Regular
1/1/10,110,Central,WI,Espresso,Decaf Espresso,Decaf
1/1/10,150,Central,WI,Espresso,Caffe Mocha,Regular
1/1/10,180,Central,WI,Herbal Tea,Chamomile,Decaf
1/1/10,81,Central,WI,Herbal Tea,Lemon,Decaf
1/1/10,150,Central,WI,Tea,Darjeeling,Regular
1/1/10,123,East,CT,Tea,Darjeeling,Regular
1/1/10,94,East,CT,Tea,Green Tea,Regular
1/1/10,130,East,CT,Espresso,Decaf Espresso,Decaf
1/1/10,180,East,CT,Espresso,Caffe Mocha,Regular
1/1/10,310,East,CT,Coffee,Columbian,Regular
1/1/10,190,East,CT,Herbal Tea,Lemon,Decaf
1/1/10,170,East,CT,Herbal Tea,Mint,Decaf
1/1/10,80,East,FL,Tea,Darjeeling,Regular
1/1/10,81,East,FL,Tea,Green Tea,Regular
1/1/10,180,East,FL,Espresso,Decaf Espresso,Decaf
1/1/10,190,East,FL,Espresso,Caffe Mocha,Regular
1/1/10,200,East,FL,Coffee,Decaf Irish Cream,Decaf
1/1/10,210,East,FL,Coffee,Columbian,Regular
1/1/10,110,East,FL,Herbal Tea,Chamomile,Decaf
1/1/10,120,East,FL,Herbal Tea,Lemon,Decaf
1/1/10,150,East,FL,Herbal Tea,Mint,Decaf
1/1/10,80,East,MA,Tea,Darjeeling,Regular
1/1/10,80,East,MA,Tea,Green Tea,Regular
1/1/10,341,East,MA,Espresso,Regular Espresso,Regular
1/1/10,126,East,MA,Espresso,Caffe Mocha,Regular
1/1/10,494,East,MA,Coffee,Columbian,Regular
1/1/10,130,East,MA,Herbal Tea,Lemon,Decaf
1/1/10,45,East,NH,Tea,Darjeeling,Regular
1/1/10,43,East,NH,Tea,Green Tea,Regular
1/1/10,65,East,NH,Espresso,Regular Espresso,Regular
1/1/10,90,East,NH,Espresso,Caffe Mocha,Regular
1/1/10,93,East,NH,Coffee,Amaretto,Regular
1/1/10,120,East,NH,Coffee,Columbian,Regular
1/1/10,76,East,NH,Herbal Tea,Lemon,Decaf
1/1/10,234,East,NY,Tea,Darjeeling,Regular
1/1/10,219,East,NY,Tea,Earl Grey,Regular
1/1/10,134,East,NY,Tea,Green Tea,Regular
1/1/10,490,East,NY,Espresso,Regular Espresso,Regular
1/1/10,61,East,NY,Espresso,Caffe Mocha,Regular
1/1/10,678,East,NY,Coffee,Columbian,Regular
1/1/10,483,East,NY,Herbal Tea,Lemon,Decaf
1/1/10,180,East,NY,Herbal Tea,Mint,Decaf
1/1/10,180,South,LA,Espresso,Caffe Mocha,Regular
1/1/10,150,South,LA,Espresso,Decaf Espresso,Decaf
1/1/10,112,South,LA,Herbal Tea,Chamomile,Decaf
1/1/10,190,South,LA,Herbal Tea,Lemon,Decaf
1/1/10,180,South,LA,Espresso,Caffe Latte,Regular
1/1/10,85,South,LA,Coffee,Columbian,Regular
1/1/10,81,South,LA,Coffee,Decaf Irish Cream,Decaf
1/1/10,90,South,NM,Espresso,Caffe Mocha,Regular
1/1/10,82,South,NM,Espresso,Decaf Espresso,Decaf
1/1/10,45,South,NM,Herbal Tea,Chamomile,Decaf
1/1/10,62,South,NM,Herbal Tea,Lemon,Decaf
1/1/10,65,South,NM,Espresso,Caffe Latte,Regular
1/1/10,120,South,NM,Coffee,Columbian,Regular
1/1/10,99,South,NM,Coffee,Decaf Irish Cream,Decaf
1/1/10,80,South,OK,Espresso,Caffe Mocha,Regular
1/1/10,210,South,OK,Espresso,Decaf Espresso,Decaf
1/1/10,120,South,OK,Herbal Tea,Chamomile,Decaf
1/1/10,190,South,OK,Herbal Tea,Lemon,Decaf
1/1/10,200,South,OK,Espresso,Caffe Latte,Regular
1/1/10,100,South,OK,Coffee,Columbian,Regular
1/1/10,80,South,OK,Coffee,Decaf Irish Cream,Decaf
1/1/10,219,South,TX,Espresso,Caffe Mocha,Regular
1/1/10,134,South,TX,Espresso,Decaf Espresso,Decaf
1/1/10,140,South,TX,Herbal Tea,Chamomile,Decaf
1/1/10,140,South,TX,Herbal Tea,Lemon,Decaf
1/1/10,180,South,TX,Espresso,Caffe Latte,Regular
1/1/10,452,South,TX,Coffee,Columbian,Regular
1/1/10,190,South,TX,Coffee,Decaf Irish Cream,Decaf
1/1/10,114,West,UT,Espresso,Caffe Latte,Regular
1/1/10,112,West,UT,Espresso,Caffe Mocha,Regular
1/1/10,123,West,UT,Espresso,Decaf Espresso,Decaf
1/1/10,93,West,UT,Herbal Tea,Chamomile,Decaf
1/1/10,120,West,UT,Herbal Tea,Lemon,Decaf
1/1/10,99,West,UT,Herbal Tea,Mint,Decaf
1/1/10,90,West,UT,Tea,Darjeeling,Regular
1/1/10,82,West,UT,Tea,Earl Grey,Regular
1/1/10,65,West,UT,Tea,Green Tea,Regular
1/1/10,170,West,UT,Coffee,Amaretto,Regular
1/1/10,130,West,UT,Coffee,Columbian,Regular
1/1/10,190,West,UT,Coffee,Decaf Irish Cream,Decaf
1/1/10,456,West,CA,Espresso,Caffe Latte,Regular
1/1/10,250,West,CA,Espresso,Caffe Mocha,Regular
1/1/10,546,West,CA,Espresso,Decaf Espresso,Decaf
1/1/10,234,West,CA,Herbal Tea,Chamomile,Decaf
1/1/10,452,West,CA,Herbal Tea,Lemon,Decaf
1/1/10,190,West,CA,Herbal Tea,Mint,Decaf
1/1/10,219,West,CA,Tea,Darjeeling,Regular
